Date, Open, High, Low, Close,%Change
12/21/10,1249.43,1255.82,1249.43,1254.6,0.603
12/20/10,1245.76,1250.2,1241.51,1247.08,0.255
12/17/10,1243.63,1245.81,1239.87,1243.91,0.084
12/16/10,1236.34,1243.75,1232.85,1242.87,0.619
12/15/10,1241.58,1244.25,1234.01,1235.23,-0.512
12/14/10,1241.84,1246.59,1238.17,1241.59,0.091
12/13/10,1242.52,1246.73,1240.34,1240.46,0.005
12/10/10,1233.85,1240.4,1232.58,1240.4,0.600
12/09/10,1230.14,1234.71,1226.85,1233,0.384
12/08/10,1225.02,1228.93,1219.5,1228.28,0.370
12/07/10,1227.25,1235.05,1223.25,1223.75,0.052
12/06/10,1223.87,1225.8,1220.67,1223.12,-0.130
12/03/10,1219.93,1225.57,1216.82,1224.71,0.260
12/02/10,1206.81,1221.89,1206.81,1221.53,1.282
12/01/10,1186.6,1207.61,1186.6,1206.07,2.162
11/30/10,1182.96,1187.4,1174.14,1180.55,-0.607
11/29/10,1189.08,1190.34,1173.64,1187.76,-0.138
11/26/10,1194.16,1194.16,1186.93,1189.4,-0.747
11/24/10,1183.7,1198.62,1183.7,1198.35,1.492
11/23/10,1192.51,1192.51,1176.91,1180.73,-1.428
11/22/10,1198.07,1198.94,1184.58,1197.84,-0.158
11/19/10,1196.12,1199.97,1189.44,1199.73,0.254
11/18/10,1183.75,1200.29,1183.75,1196.69,1.536
11/17/10,1178.33,1183.56,1175.82,1178.59,0.021
11/16/10,1194.79,1194.79,1173,1178.34,-1.621
11/15/10,1200.44,1207.43,1197.15,1197.75,-0.122
11/12/10,1209.07,1210.5,1194.08,1199.21,-1.181
11/11/10,1213.04,1215.45,1204.49,1213.54,-0.424
11/10/10,1213.14,1218.75,1204.33,1218.71,0.438
11/09/10,1223.59,1226.84,1208.94,1213.4,-0.805
11/08/10,1223.24,1224.57,1217.55,1223.25,-0.212
11/05/10,1221.2,1227.08,1220.29,1225.85,0.392
11/04/10,1198.34,1221.25,1198.34,1221.06,1.928
11/03/10,1193.79,1198.3,1183.56,1197.96,0.368
11/02/10,1187.86,1195.88,1187.86,1193.57,0.776
11/01/10,1185.71,1195.81,1177.65,1184.38,0.095
10/29/10,1183.87,1185.46,1179.7,1183.26,-0.044
10/28/10,1184.47,1189.53,1177.1,1183.78,0.112
10/27/10,1183.84,1183.84,1171.7,1182.45,-0.269
10/26/10,1184.88,1187.11,1177.72,1185.64,0.002
